FIPS,FIPSTEXT,y17_M001_valueText,y17_M001_classRange,y17_M001_valueNumeric,y17_M002_valueText,y17_M002_classRange,y17_M002_valueNumeric,y17_M003_valueText,y17_M003_classRange,y17_M003_valueNumeric,y17_M004_valueText,y17_M004_classRange,y17_M004_valueNumeric,y17_M005_valueText,y17_M005_classRange,y17_M005_valueNumeric,y17_M006_valueText,y17_M006_classRange,y17_M006_valueNumeric,y17_M007_valueText,y17_M007_classRange,y17_M007_valueNumeric,y17_M008_valueText,y17_M008_classRange,y17_M008_valueNumeric,y17_M009_valueText,y17_M009_classRange,y17_M009_valueNumeric,y17_M010_valueText,y17_M010_classRange,y17_M010_valueNumeric,y17_M058_valueText,y17_M058_classRange,y17_M058_valueNumeric,y17_M059_valueText,y17_M059_classRange,y17_M059_valueNumeric,y17_M060_valueText,y17_M060_classRange,y17_M060_valueNumeric,y17_M061_valueText,y17_M061_classRange,y17_M061_valueNumeric,y17_M062_valueText,y17_M062_classRange,y17_M062_valueNumeric,y17_M063_valueText,y17_M063_classRange,y17_M063_valueNumeric,y17_M064_valueText,y17_M064_classRange,y17_M064_valueNumeric,y17_M065_valueText,y17_M065_classRange,y17_M065_valueNumeric,y17_M066_valueText,y17_M066_classRange,y17_M066_valueNumeric,y17_M067_valueText,y17_M067_classRange,y17_M067_valueNumeric,y17_M068_valueText,y17_M068_classRange,y17_M068_valueNumeric,y17_M069_valueText,y17_M069_classRange,y17_M069_valueNumeric,y17_M070_valueText,y17_M070_classRange,y17_M070_valueNumeric,y17_M071_valueText,y17_M071_classRange,y17_M071_valueNumeric,y17_M076_valueText,y17_M076_classRange,y17_M076_valueNumeric,y17_M077_valueText,y17_M077_classRange,y17_M077_valueNumeric,y17_M078_valueText,y17_M078_classRange,y17_M078_valueNumeric,y17_M079_valueText,y17_M079_classRange,y17_M079_valueNumeric,y17_M080_valueText,y17_M080_classRange,y17_M080_valueNumeric,y17_M081_valueText,y17_M081_classRange,y17_M081_valueNumeric,y17_M082_valueText,y17_M082_classRange,y17_M082_valueNumeric,y17_M083_valueText,y17_M083_classRange,y17_M083_valueNumeric,y17_M091_valueText,y17_M091_classRange,y17_M091_valueNumeric,y17_M092_valueText,y17_M092_classRange,y17_M092_valueNumeric,y17_M093_valueText,y17_M093_classRange,y17_M093_valueNumeric,y17_M201_valueText,y17_M201_classRange,y17_M201_valueNumeric
0,00000,2042220,,2042220.00,-0.87,,-0.87,441,,441.00,1.30,,1.30,-0.15,,-0.15,-5.10,,-5.10,-2.68,,-2.68,-2.16,,-2.16,-0.89,,-0.89,0.88,,0.88,-0.60,,-0.60,39.8,,39.80,1.20,,1.20,6.44,,6.44,1.11,,1.11,17.54,,17.54,44.04,,44.04,0.92,,0.92,35.55,,35.55,16.86,,16.86,48.94,,48.94,0.92,,0.92,2.55,,2.55,31.59,,31.59,64.01,,64.01,60.98,,60.98,6.03,,6.03,28.36,,28.36,3.70,,3.70,73.91,,73.91,3.72,,3.72,11.17,,11.17,85.75,,85.75,6.37,,6.37,5.72,,5.72,75.41,,75.41
1001,01001,371,250 - 499,371.00,-0.17,Sparse Data,-0.17,305,180 - 499,305.00,0.03,Sparse Data,0.03,-0.16,Sparse Data,-0.16,-0.13,Sparse Data,-0.13,-0.21,Sparse Data,-0.21,0.05,Sparse Data,0.05,0.00,Sparse Data,0.00,-0.27,Sparse Data,-0.27,0.06,Sparse Data,0.06,29.8,10 - 29,29.80,-0.16,Sparse Data,-0.16,1.25,1 - 4,1.25,-0.34,Sparse Data,-0.34,9.70,5 - 14,9.70,32.58,20 - 39,32.58,-0.21,Sparse Data,-0.21,24.34,20 - 39,24.34,4.22,Less than 5,4.22,25.45,15 - 29,25.45,0.86,Less than 1,0.86,1.17,1 - 2,1.17,14.15,5 - 19,14.15,67.53,60 - 69,67.53,45.18,35 - 49,45.18,10.11,5 - 14,10.11,27.88,20 - 29,27.88,0.18,Less than 1,0.18,58.36,50 - 64,58.36,23.90,20 - 29,23.90,0.90,Less than 5,0.90,93.26,90 - 94,93.26,4.58,Less than 5,4.58,1.35,Less than 2,1.35,76.82,75 - 84,76.82
1003,01003,842,750 - 999,842.00,-0.59,Negligible Change,-0.59,208,180 - 499,208.00,0.01,Sparse Data,0.01,-0.47,Negligible Change,-0.47,-1.05,Slight Decrease,-1.05,-0.79,Negligible Change,-0.79,0.36,Sparse Data,0.36,0.44,Sparse Data,0.44,-0.46,Sparse Data,-0.46,-0.35,Sparse Data,-0.35,17.2,10 - 29,17.20,-0.05,Sparse Data,-0.05,4.25,1 - 4,4.25,0.27,Sparse Data,0.27,10.85,5 - 14,10.85,63.18,60 - 79,63.18,0.08,Sparse Data,0.08,53.95,40 - 59,53.95,(D),5 - 19,,19.51,15 - 29,19.51,(D),Less than 1,,1.83,1 - 2,1.83,42.38,35 - 49,42.38,80.79,80 or more,80.79,76.69,75 or more,76.69,5.48,5 - 14,5.48,70.25,60 or more,70.25,15.83,15 - 24,15.83,78.42,75 - 89,78.42,10.64,10 - 19,10.64,54.45,40 or more,54.45,85.27,85 - 89,85.27,5.34,5 - 9,5.34,7.24,5 - 9,7.24,78.15,75 - 84,78.15
1005,01005,498,250 - 499,498.00,-0.50,Negligible Change,-0.50,307,180 - 499,307.00,-0.06,Sparse Data,-0.06,0.56,Sparse Data,0.56,-0.69,Negligible Change,-0.69,-0.63,Negligible Change,-0.63,-0.38,Sparse Data,-0.38,0.23,Sparse Data,0.23,-1.02,Sparse Data,-1.02,-1.10,Slight Decrease,-1.10,27.0,10 - 29,27.00,0.76,Sparse Data,0.76,2.36,1 - 4,2.36,-0.31,Sparse Data,-0.31,6.59,5 - 14,6.59,24.42,20 - 39,24.42,0.27,Sparse Data,0.27,16.52,10 - 19,16.52,(D),5 - 19,,30.00,30 - 49,30.00,(D),Less than 1,,7.43,6 - 8,7.43,12.72,5 - 19,12.72,78.84,70 - 79,78.84,48.87,35 - 49,48.87,28.16,15 - 29,28.16,27.11,20 - 29,27.11,1.36,1 - 4,1.36,63.91,50 - 64,63.91,7.19,5 - 9,7.19,(D),Less than 5,,93.37,90 - 94,93.37,3.21,Less than 5,3.21,2.81,2 - 4,2.81,60.64,55 - 64,60.64
1007,01007,205,Less than 250,205.00,0.27,Sparse Data,0.27,273,180 - 499,273.00,0.44,Negligible Change,0.44,-0.05,Sparse Data,-0.05,-0.25,Sparse Data,-0.25,0.54,Sparse Data,0.54,-1.38,Sparse Data,-1.38,-0.23,Sparse Data,-0.23,1.47,Sparse Data,1.47,-0.02,Sparse Data,-0.02,14.0,10 - 29,14.00,0.59,Sparse Data,0.59,0.14,Less than 1,0.14,0.65,Sparse Data,0.65,3.97,Less than 5,3.97,28.27,20 - 39,28.27,0.86,Sparse Data,0.86,19.32,10 - 19,19.32,0.61,Less than 5,0.61,29.43,15 - 29,29.43,0.07,Less than 1,0.07,0.76,Less than 1,0.76,8.47,5 - 19,8.47,52.53,50 - 59,52.53,25.89,20 - 34,25.89,4.64,Less than 5,4.64,(D),10 - 19,,0.00,Less than 1,0.00,55.13,50 - 64,55.13,0.00,Less than 5,0.00,(D),Less than 5,,93.17,90 - 94,93.17,1.95,Less than 5,1.95,4.88,2 - 4,4.88,73.17,65 - 74,73.17
1009,01009,1146,"1,000 or more",1146.00,-0.28,Negligible Change,-0.28,129,50 - 179,129.00,0.04,Sparse Data,0.04,-0.22,Negligible Change,-0.22,-0.54,Negligible Change,-0.54,0.23,Sparse Data,0.23,-0.12,Sparse Data,-0.12,0.42,Sparse Data,0.42,-0.62,Sparse Data,-0.62,0.05,Sparse Data,0.05,35.9,30 - 49,35.90,1.00,Sparse Data,1.00,0.63,Less than 1,0.63,0.48,Sparse Data,0.48,10.61,5 - 14,10.61,29.55,20 - 39,29.55,0.33,Sparse Data,0.33,20.98,20 - 39,20.98,2.17,Less than 5,2.17,48.17,30 - 49,48.17,0.36,Less than 1,0.36,1.18,1 - 2,1.18,8.74,5 - 19,8.74,84.41,80 or more,84.41,30.09,20 - 34,30.09,29.60,15 - 29,29.60,18.45,10 - 19,18.45,4.43,1 - 4,4.43,81.70,75 - 89,81.70,3.77,Less than 5,3.77,1.18,Less than 5,1.18,94.24,90 - 94,94.24,3.49,Less than 5,3.49,2.01,2 - 4,2.01,74.61,65 - 74,74.61
1011,01011,255,250 - 499,255.00,-0.24,Sparse Data,-0.24,452,180 - 499,452.00,0.19,Sparse Data,0.19,-0.11,Sparse Data,-0.11,-0.04,Sparse Data,-0.04,0.35,Sparse Data,0.35,-0.73,Sparse Data,-0.73,0.07,Sparse Data,0.07,-1.54,Sparse Data,-1.54,-1.35,Slight Decrease,-1.35,28.9,10 - 29,28.90,-1.83,Sparse Data,-1.83,0.10,Less than 1,0.10,-0.83,Sparse Data,-0.83,5.01,5 - 14,5.01,17.32,10 - 19,17.32,-0.82,Sparse Data,-0.82,8.61,Less than 10,8.61,1.21,Less than 5,1.21,32.47,30 - 49,32.47,0.00,Less than 1,0.00,5.60,3 - 5,5.60,8.63,5 - 19,8.63,41.69,40 - 49,41.69,26.04,20 - 34,26.04,20.77,15 - 29,20.77,19.50,10 - 19,19.50,0.43,Less than 1,0.43,46.45,30 - 49,46.45,(D),Less than 5,,2.12,Less than 5,2.12,79.22,75 - 84,79.22,13.33,10 - 14,13.33,5.49,5 - 9,5.49,69.02,65 - 74,69.02
1013,01013,420,250 - 499,420.00,0.11,Sparse Data,0.11,201,180 - 499,201.00,-0.73,Negligible Change,-0.73,0.70,Negligible Change,0.70,0.15,Sparse Data,0.15,-0.09,Sparse Data,-0.09,-1.60,Sparse Data,-1.60,-1.23,Sparse Data,-1.23,0.38,Sparse Data,0.38,-0.17,Sparse Data,-0.17,17.0,10 - 29,17.00,2.72,Sparse Data,2.72,0.65,Less than 1,0.65,-0.57,Sparse Data,-0.57,3.56,Less than 5,3.56,21.00,20 - 39,21.00,0.17,Sparse Data,0.17,16.92,10 - 19,16.92,0.67,Less than 5,0.67,23.16,15 - 29,23.16,2.32,1 - 4,2.32,1.69,1 - 2,1.69,9.26,5 - 19,9.26,80.40,80 or more,80.40,47.59,35 - 49,47.59,19.21,15 - 29,19.21,11.66,10 - 19,11.66,1.86,1 - 4,1.86,51.77,50 - 64,51.77,(D),Less than 5,,12.12,10 - 24,12.12,92.62,90 - 94,92.62,2.62,Less than 5,2.62,4.76,2 - 4,4.76,73.81,65 - 74,73.81
1015,01015,643,500 - 749,643.00,0.27,Negligible Change,0.27,138,50 - 179,138.00,0.05,Sparse Data,0.05,0.06,Sparse Data,0.06,0.47,Negligible Change,0.47,-0.28,Sparse Data,-0.28,0.74,Sparse Data,0.74,0.39,Sparse Data,0.39,-0.84,Sparse Data,-0.84,0.32,Sparse Data,0.32,22.9,10 - 29,22.90,0.23,Sparse Data,0.23,1.19,1 - 4,1.19,0.80,Sparse Data,0.80,7.34,5 - 14,7.34,31.99,20 - 39,31.99,0.63,Sparse Data,0.63,26.12,20 - 39,26.12,(D),Less than 5,,37.80,30 - 49,37.80,(D),Less than 1,,1.23,1 - 2,1.23,17.80,5 - 19,17.80,84.99,80 or more,84.99,43.22,35 - 49,43.22,34.43,30 - 59,34.43,17.85,10 - 19,17.85,(D),Less than 1,,69.65,65 - 74,69.65,11.43,10 - 19,11.43,0.28,Less than 5,0.28,93.78,90 - 94,93.78,2.95,Less than 5,2.95,2.64,2 - 4,2.64,77.14,75 - 84,77.14
1017,01017,331,250 - 499,331.00,0.31,Sparse Data,0.31,389,180 - 499,389.00,0.27,Sparse Data,0.27,0.32,Sparse Data,0.32,0.13,Sparse Data,0.13,-0.71,Sparse Data,-0.71,0.50,Sparse Data,0.50,0.48,Sparse Data,0.48,1.66,Sparse Data,1.66,0.96,Negligible Change,0.96,33.7,30 - 49,33.70,1.27,Sparse Data,1.27,0.12,Less than 1,0.12,-0.62,Sparse Data,-0.62,3.27,Less than 5,3.27,9.71,Less than 10,9.71,-0.10,Sparse Data,-0.10,7.45,Less than 10,7.45,(D),Less than 5,,37.42,30 - 49,37.42,(D),Less than 1,,1.58,1 - 2,1.58,6.33,5 - 19,6.33,184.59,80 or more,184.59,33.81,20 - 34,33.81,63.78,60 or more,63.78,13.22,10 - 19,13.22,(D),Less than 1,,169.59,90 or more,169.59,(D),Less than 5,,0.51,Less than 5,0.51,89.73,85 - 89,89.73,4.53,Less than 5,4.53,5.74,5 - 9,5.74,71.90,65 - 74,71.90
