Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Typology,,Value,CV (%)
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - ACRES OPERATED,"8,999",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - NUMBER OF OPERATIONS,40,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,117,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,5,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS, (D),
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,9,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"4,717",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,63,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"1,039",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,39,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"3,316",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,95,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"2,333",
